Station Code	Station Name	Country	Network	Station type	Latitude	Longitude	Date	PM10 mean concentration (microg/m^3)
SE_5_62231	Stockholm St Eriksgatan 83	SE	European Envioronmental Agency (EEA)	traffic	59.34049999952947	18.037016	2024-04-29	30.461354166666666
SE_5_62469	Norunda Stenen	SE	European Envioronmental Agency (EEA)	background	60.08583299953635	17.505278	2022-12-31	
SE_5_62474	Sollentuna Danderydsvägen	SE	European Envioronmental Agency (EEA)	traffic	59.44592199953042	17.954993	2024-04-29	31.061666666666667
SE_5_62476	Stockholm Folkungagatan 70	SE	European Envioronmental Agency (EEA)	traffic	59.31460299952922	18.077138000000005	2024-01-08	
SE_5_62479	Uppsala Dragarbrunnsgatan 23 tak	SE	European Envioronmental Agency (EEA)	background	59.86052099953423	17.637597000000003	2024-04-29	8.75133541625
SE_5_64030	Växjö Kommunhusets tak	SE	European Envioronmental Agency (EEA)	background	56.88107299950907	14.802351000000002	2021-12-23	
SE_5_64033	Ljungby Föreningsgatan Oxtorget	SE	European Envioronmental Agency (EEA)	traffic	56.83478499950871	13.941988999999998	2022-08-30	
SE_5_64046	Kiruna Centralskolan	SE	European Envioronmental Agency (EEA)	background	67.85579399962553	20.229993000000004	2022-12-05	
SE_5_64094	Piteå Prästgårdsgatan	SE	European Envioronmental Agency (EEA)	traffic	65.31810999959283	21.479167	2023-01-18	
SE_5_64458	Hallahus	SE	European Envioronmental Agency (EEA)	background	56.04242599950293	13.148551	2023-04-04	
SE_5_65053	Hedemora Gussarvsgatan	SE	European Envioronmental Agency (EEA)	traffic	60.2814019995382	15.989098	2024-04-29	15.122416666666666
SE_5_66297	Karlskrona N Smedjegatan Ö Köpmansgatan	SE	European Envioronmental Agency (EEA)	traffic	56.1640109995038	15.588941000000002	2024-04-29	0.0
SE_5_68564	Solna Råsundavägen 107	SE	European Envioronmental Agency (EEA)	traffic	59.36511699952969	17.996862	2024-04-29	24.352100000000004
SE_5_69225	Växjö Liedbergsgatan 11	SE	European Envioronmental Agency (EEA)	traffic	56.87988199950906	14.799273	2024-04-29	11.741666666666667
SE_5_69333	Karlshamn Erik Dahlbergsvägen - Prinsgatan	SE	European Envioronmental Agency (EEA)	traffic	56.17713799950388	14.857173	2021-06-04	
SE_5_69403	Helsingborg Drottninggatan	SE	European Envioronmental Agency (EEA)	traffic	56.04718499950297	12.691633	2024-04-29	10.732583333333332
SE_5_69406	Östersund Rådhusgatan	SE	European Envioronmental Agency (EEA)	traffic	63.17390899956809	14.641086	2024-04-29	3.1916666666666664
SE_5_69415	Kalmar Södra Vägen	SE	European Envioronmental Agency (EEA)	traffic	56.66418999950742	16.333621	2024-04-29	16.995833333333334
SE_5_69430	Norunda Stenen	SE	European Envioronmental Agency (EEA)	background	60.08583299953635	17.505278	2024-04-29	7.625831737826087
SE_5_69533	Norrköping Kungsgatan 67	SE	European Envioronmental Agency (EEA)	traffic	58.58762299952285	16.176982	2021-01-11	
SE_5_70976	Skellefteå Kv Pantern	SE	European Envioronmental Agency (EEA)	traffic	64.74953099958591	20.960068000000007	2024-04-29	6.709020833333334
SE_5_71509	Norrköping Trädgårdsgatan 21	SE	European Envioronmental Agency (EEA)	background	58.59203899952289	16.189333	2024-04-29	15.266520832500001
SE_5_71510	Norrköping Kungsgatan 32	SE	European Envioronmental Agency (EEA)	traffic	58.59151599952288	16.177875000000004	2024-04-29	23.097489999999997
SE_5_71556	Göteborg Övre Husargatan	SE	European Envioronmental Agency (EEA)	traffic	57.69370599951541	11.956772	2024-03-31	
SE_5_71561	Sollentuna Sollentunavägen 192	SE	European Envioronmental Agency (EEA)	traffic	59.43363999953031	17.949741	2024-04-28	
SE_5_71562	Visby Österväg 17	SE	European Envioronmental Agency (EEA)	traffic	57.63692799951495	18.303565000000003	2024-04-29	24.667662499166667
SE_5_71563	Sundbyberg Tulegatan 9	SE	European Envioronmental Agency (EEA)	traffic	59.36425999952968	17.976278	2024-04-29	28.000314583333335
SE_5_71603	Ludvika Gamla Bangatan	SE	European Envioronmental Agency (EEA)	traffic	60.14931799953693	15.209163	2022-01-05	
SE_5_71604	Örnsköldsvik Centralesplanaden - Nygatan 24	SE	European Envioronmental Agency (EEA)	traffic	63.29184299956942	18.717487	2024-04-29	4.208333333333333
SE_5_71608	Västerås Melkertorget	SE	European Envioronmental Agency (EEA)	traffic	59.60987099953191	16.55046	2021-06-14	
SE_5_71637	Visby Brömsebroväg 8	SE	European Envioronmental Agency (EEA)	background	57.63992699951497	18.309721	2024-04-29	16.679135
SE_5_74802	Gävle Staketgatan 22	SE	European Envioronmental Agency (EEA)	traffic	60.676167999542	17.137639	2024-04-29	25.180199999583333
SE_5_74806	Linköping Hamngatan 10	SE	European Envioronmental Agency (EEA)	traffic	58.41239199952135	15.630079000000002	2024-04-29	22.7940625
SE_5_74948	Karlstad Jungmansgatan 8	SE	European Envioronmental Agency (EEA)	traffic	59.376673999529785	13.490342	2023-05-04	
SE_5_74963	Västerås Stora Gatan 78	SE	European Envioronmental Agency (EEA)	traffic	59.60769899953189	16.535915999999997	2024-04-29	28.199583333333337
SE_5_76714	Danderyd Mörbyskolan	SE	European Envioronmental Agency (EEA)	background	59.39386099952996	18.044052	2024-03-11	
SE_5_76715	Danderyd Gymnasiet	SE	European Envioronmental Agency (EEA)	background	59.41559099953016	18.042383	2024-04-28	
SE_5_77127	Bredkälen	SE	European Envioronmental Agency (EEA)	background	63.845496999575694	15.31973	2024-04-29	10.495652173913044
FI_5_101649	Ilomantsi Pötsönvaara	FI	Finnish Meteorological Institute (FMI)	na	63.14	31.04	2024-04-15	
FI_5_102009	Inari Raja-Jooseppi	FI	Finnish Meteorological Institute (FMI)	na	68.48	28.3	2024-04-15	
FI_5_101317	Juupajoki Hyytiälä	FI	Finnish Meteorological Institute (FMI)	na	61.85	24.29	2024-04-15	
FI_5_101985	Kittilä Matorova	FI	Finnish Meteorological Institute (FMI)	na	68.0	24.24	2024-04-15	2.0708333333333333
FI_5_101587	Kuopio Puijo	FI	Finnish Meteorological Institute (FMI)	na	62.91	27.66	2024-04-15	
FI_5_101899	Kuusamo Juuma	FI	Finnish Meteorological Institute (FMI)	na	66.32	29.4	2024-04-15	
FI_5_101983	Muonio Sammaltunturi	FI	Finnish Meteorological Institute (FMI)	na	67.97	24.12	2024-04-15	1.95
FI_5_100908	Parainen Utö	FI	Finnish Meteorological Institute (FMI)	na	59.78	21.37	2024-04-15	3.154166666666667
FI_5_102012	Salla Värriötunturi	FI	Finnish Meteorological Institute (FMI)	na	67.75	29.61	2024-04-15	
FI_5_101942	Sodankylä Heikinheimo-masto	FI	Finnish Meteorological Institute (FMI)	na	67.36	26.64	2024-04-15	
FI_5_102035	Utsjoki Kevo	FI	Finnish Meteorological Institute (FMI)	na	69.76	27.01	2024-04-15	
FI_5_100656	Virolahti Koivuniemi Ääpälä	FI	Finnish Meteorological Institute (FMI)	na	60.53	27.68	2024-04-15	2.2166666666666663
