	Station Code	Station Name	Country	Station type	Latitude	Longitude	Network	PM10 24h mean forecast	PM10 48h mean forecast	Today air quality	Tomorrow air quality
87	SPO_NO0084A_5_967	St.Croix	Norway	traffic	59.2103	10.9454	European Envioronmental Agency (EEA)	30.31475315923276	26.144998301630434	Moderate	Moderate
88	SPO_NO0114A_5_2325	Bekkestua	Norway	background	59.9182	10.5839	European Envioronmental Agency (EEA)	28.459190658901047	24.16879363681959	Moderate	Good
89	SPO_NO0142A_5_3183	E18 HÃ¸vik kirke	Norway	traffic	59.8988	10.5759	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
90	SPO_NO0110A_5_2064	Alvim	Norway	traffic	59.2738	11.0892	European Envioronmental Agency (EEA)	26.9105805936067	21.950847957445227	Moderate	Good
91	SPO_NO0112A_5_1221	Kransen	Norway	traffic	59.4335	10.6618	European Envioronmental Agency (EEA)	21.407498152359672	18.90421660050102	Good	Good
92	SPO_NO0119A_5_2701	Leiret	Norway	traffic	60.8836	11.5593	European Envioronmental Agency (EEA)	36.635579565297	29.46345971978229	Moderate	Moderate
93	SPO_NO0104A_5_1671	Vangsveien  Hamar	Norway	traffic	60.7965	11.0978	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
94	SPO_NO0111A_5_1692	Vigernes	Norway	traffic	59.9555	11.074	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
95	SPO_NO0128A_5_2972	Nedre Langgate	Norway	traffic	59.2637	10.4112	European Envioronmental Agency (EEA)	17.627275301062543	15.964963892231816	Good	Good
96	SPO_NO0129A_5_2950	Solheim	Norway	traffic	59.9286	10.9532	European Envioronmental Agency (EEA)	28.099448079648226	30.244975836380668	Moderate	Moderate
97	SPO_NO0127A_5_2964	Seljestad Rv83	Norway	traffic	68.7922	16.5374	European Envioronmental Agency (EEA)	11.021350404490596	7.095859859300696	Good	Good
98	SPO_NO0130A_5_3000	Ringsakervegen	Norway	traffic	60.8859	10.9379	European Envioronmental Agency (EEA)	40.96335933519446	33.42285948214324	Moderate	Moderate
