	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
171	NaN	2021	4	9	2	0	SPO_NO0143A_5_3173
172	NaN	2021	4	9	3	0	SPO_NO0143A_5_3173
173	NaN	2021	4	9	4	0	SPO_NO0143A_5_3173
174	NaN	2021	4	9	5	0	SPO_NO0143A_5_3173
175	NaN	2021	4	9	6	0	SPO_NO0143A_5_3173
176	NaN	2021	4	9	7	0	SPO_NO0143A_5_3173
177	NaN	2021	4	9	8	0	SPO_NO0143A_5_3173
178	NaN	2021	4	9	9	0	SPO_NO0143A_5_3173
179	NaN	2021	4	9	10	0	SPO_NO0143A_5_3173
180	NaN	2021	4	9	11	0	SPO_NO0143A_5_3173
181	NaN	2021	4	9	12	0	SPO_NO0143A_5_3173
182	NaN	2021	4	9	13	0	SPO_NO0143A_5_3173
183	NaN	2021	4	9	14	0	SPO_NO0143A_5_3173
184	NaN	2021	4	9	15	0	SPO_NO0143A_5_3173
185	NaN	2021	4	9	16	0	SPO_NO0143A_5_3173
186	NaN	2021	4	9	17	0	SPO_NO0143A_5_3173
187	NaN	2021	4	9	18	0	SPO_NO0143A_5_3173
188	NaN	2021	4	9	19	0	SPO_NO0143A_5_3173
189	NaN	2021	4	9	20	0	SPO_NO0143A_5_3173
190	NaN	2021	4	9	21	0	SPO_NO0143A_5_3173
191	NaN	2021	4	9	22	0	SPO_NO0143A_5_3173
192	NaN	2021	4	9	23	0	SPO_NO0143A_5_3173
193	NaN	2021	4	10	0	0	SPO_NO0143A_5_3173
194	NaN	2021	4	10	1	0	SPO_NO0143A_5_3173
195	NaN	2021	4	10	2	0	SPO_NO0143A_5_3173
196	NaN	2021	4	10	3	0	SPO_NO0143A_5_3173
197	NaN	2021	4	10	4	0	SPO_NO0143A_5_3173
198	NaN	2021	4	10	5	0	SPO_NO0143A_5_3173
199	NaN	2021	4	10	6	0	SPO_NO0143A_5_3173
200	NaN	2021	4	10	7	0	SPO_NO0143A_5_3173
201	NaN	2021	4	10	8	0	SPO_NO0143A_5_3173
202	NaN	2021	4	10	9	0	SPO_NO0143A_5_3173
203	NaN	2021	4	10	10	0	SPO_NO0143A_5_3173
