	Files_names	Nan_count	Longest_NaN_gap	Start_date	End_date	conc mean 2020	2020 days conc>50 (microg/m^3)	conc mean 2021	2021 days conc>50 (microg/m^3)	conc mean 2022	 2022 days conc>50 (microg/m^3)	conc mean 2023	 2023 days conc>50 (microg/m^3)	conc mean 2020 jan-june	conc mean 2021 jan-june	conc mean 2022 jan-june	conc mean 2023 jan-june
70	NO_5_28788_PM10_timeseries.txt	1478	431	2020-01-01	2023-08-30	[19.090224623089558]	21	[20.472404091714694]	11	[23.24937750058839]	18	[20.66973521944147]	18	23.735198306726122	23.671948754197725	28.04529799764429	24.63223260388493
71	NO_5_28796_PM10_timeseries.txt	1731	250	2020-01-01	2023-08-31	[14.824075251048685]	2	[16.29625847902906]	0	[14.676350012374643]	8	[13.582459967836709]	1	16.396543209876544	17.81413399527282	18.476112836993284	15.885921304128631
72	NO_5_28799_PM10_timeseries.txt	3795	2988	2020-01-01	2023-08-31	[15.269382087345237]	12	[20.562500075972306]	9	[20.52382988935732]	21	[17.92713301475752]	5	19.06407024419842	20.39872485086795	26.994863037851903	21.30306000925926
73	NO_5_28807_PM10_timeseries.txt	17204	335	2020-01-13	2022-01-02	[4.124939996399999]	0	[4.0042799962]	0	[4.684]	0	[nan]	0	4.0148799956	3.7797599964000006	4.684	
74	NO_5_28812_PM10_timeseries.txt	3433	848	2020-01-01	2023-08-31	[12.258199138008157]	2	[12.93212394937811]	0	[13.787652339482479]	6	[13.048787383399961]	2	15.116366665443602	13.60099027489761	17.810635282976605	14.476036983374689
75	NO_5_28816_PM10_timeseries.txt	938	266	2020-01-01	2023-08-31	[17.295104526105813]	11	[15.697432209643091]	6	[15.0978372434017]	13	[15.63352961551787]	10	16.82524916590413	17.64539194805769	17.497318722312894	16.172636236609222
76	NO_5_35076_PM10_timeseries.txt	725	384	2020-01-01	2023-08-31	[14.60684611485003]	7	[14.473877008352236]	3	[17.746424017619088]	8	[14.693967597380247]	2	17.528999300030183	14.787833831293682	24.340652122918137	16.594123091161496
77	NO_5_35084_PM10_timeseries.txt	6899	1481	2020-01-01	2023-08-31	[10.94765668070724]	2	[11.884085940383894]	2	[11.627338656904254]	0	[7.619866252886242]	0	11.185808381667528	12.052047645898043	13.634635608271534	8.36643391462203
78	NO_5_35085_PM10_timeseries.txt	811	172	2020-01-01	2023-08-31	[12.192306474143239]	4	[13.772695873564857]	5	[15.332165647550658]	9	[15.007634001041009]	6	12.470883613125146	16.245810455691515	16.022999158946625	16.877267380196173
79	NO_5_35115_PM10_timeseries.txt	1775	1773	2020-01-01	2021-06-18	[14.570109855226004]	8	[27.13255008296812]	17	[nan]	0	[nan]	0	15.433310435883698	27.1325500829681		
80	NO_5_35120_PM10_timeseries.txt	2818	905	2020-01-01	2023-08-31	[14.570355002525876]	10	[12.497937293269304]	0	[13.742275950624636]	7	[13.481621110535665]	2	18.936824803914458	13.957735287074469	18.30194707191949	15.614862602040814
81	NO_5_43719_PM10_timeseries.txt	1350	647	2020-01-01	2023-08-31	[13.756633360988609]	7	[14.107084565309602]	4	[12.94077398162022]	3	[12.242270533081063]	1	15.493969107142206	15.448926500032163	17.042173427570805	13.456326800436415
82	NO_5_43723_PM10_timeseries.txt	5181	3701	2020-01-01	2023-07-12	[14.534916273220235]	17	[18.55181939847838]	12	[16.200856000525953]	15	[17.824741323734816]	8	18.644723375817083	22.229776936978542	22.326142101411413	18.343572290448794
83	NO_5_43728_PM10_timeseries.txt	2454	572	2020-01-01	2023-08-31	[15.868179678399713]	10	[17.601769536779198]	7	[17.55996796867554]	12	[24.111692289053593]	24	18.74582617749205	18.910547561465307	21.055913901205386	29.399040591387084
84	NO_5_43733_PM10_timeseries.txt	3247	675	2020-01-01	2023-08-31	[8.76789502299154]	1	[10.056674280038523]	0	[11.064655979407245]	0	[11.076675747545297]	0	10.419247556510683	10.807741968019204	13.918725995400631	11.979750583419689
85	NO_5_43744_PM10_timeseries.txt	11099	5488	2020-01-01	2023-08-23	[13.063019387207643]	1	[21.661131332175653]	12	[15.857348320580702]	6	[15.80134439757778]	6	13.063019387207754	20.707168671054216	18.79642857142857	17.835104268869447
86	NO_5_43746_PM10_timeseries.txt	96	25	2020-01-01	2023-08-31	[9.646966906725536]	1	[10.867636628666073]	2	[11.362845944970214]	1	[10.165232738924006]	0	11.295553935974322	12.654834157331026	12.659074510767988	11.475330896297322
87	NO_5_43749_PM10_timeseries.txt	153	66	2020-01-01	2023-08-31	[6.718888869032534]	0	[6.700324957463384]	0	[7.302582385562206]	0	[6.864219476802886]	0	8.352380404201238	6.804759561175657	8.485428545714285	7.581740398143449
88	NO_5_48876_PM10_timeseries.txt	2563	325	2020-01-01	2023-08-31	[10.498299132536427]	2	[13.45780611988113]	1	[16.171782952297885]	11	[11.413411944960044]	3	10.802445265083572	15.326224466043065	15.605082295614919	12.938131379601227
89	NO_5_50188_PM10_timeseries.txt	6353	6274	2020-01-01	2023-08-31	[11.70428803003998]	2	[13.079307794086949]	0	[13.009233654472446]	1	[14.404866157899358]	2		14.846371676987316	14.33639440218685	16.41043730399908
