	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
314	1.39999999	2021	2	14	2	0	SPO-SE312888_00005_100
315	1.38999999	2021	2	14	3	0	SPO-SE312888_00005_100
316	1.31	2021	2	14	4	0	SPO-SE312888_00005_100
317	1.99	2021	2	14	5	0	SPO-SE312888_00005_100
318	1.67999999	2021	2	14	6	0	SPO-SE312888_00005_100
319	1.61	2021	2	14	7	0	SPO-SE312888_00005_100
320	2.6	2021	2	14	8	0	SPO-SE312888_00005_100
321	2.69	2021	2	14	9	0	SPO-SE312888_00005_100
322	2.39	2021	2	14	10	0	SPO-SE312888_00005_100
323	1.94	2021	2	14	11	0	SPO-SE312888_00005_100
324	1.86	2021	2	14	12	0	SPO-SE312888_00005_100
325	1.82	2021	2	14	13	0	SPO-SE312888_00005_100
326	1.61	2021	2	14	14	0	SPO-SE312888_00005_100
327	1.85	2021	2	14	15	0	SPO-SE312888_00005_100
328	1.61	2021	2	14	16	0	SPO-SE312888_00005_100
329	4.15	2021	2	14	17	0	SPO-SE312888_00005_100
330	5.71	2021	2	14	18	0	SPO-SE312888_00005_100
331	18.62	2021	2	14	19	0	SPO-SE312888_00005_100
332	12.57	2021	2	14	20	0	SPO-SE312888_00005_100
333	8.27999999	2021	2	14	21	0	SPO-SE312888_00005_100
334	7.80999999	2021	2	14	22	0	SPO-SE312888_00005_100
335	9.51999999	2021	2	14	23	0	SPO-SE312888_00005_100
336	6.29	2021	2	15	0	0	SPO-SE312888_00005_100
337	4.82	2021	2	15	1	0	SPO-SE312888_00005_100
338	6.79	2021	2	15	2	0	SPO-SE312888_00005_100
339	4.83	2021	2	15	3	0	SPO-SE312888_00005_100
340	4.76999999	2021	2	15	4	0	SPO-SE312888_00005_100
341	3.25999999	2021	2	15	5	0	SPO-SE312888_00005_100
342	3.08	2021	2	15	6	0	SPO-SE312888_00005_100
343	3.87	2021	2	15	7	0	SPO-SE312888_00005_100
344	4.62	2021	2	15	8	0	SPO-SE312888_00005_100
345	3.64	2021	2	15	9	0	SPO-SE312888_00005_100
346	4.87999999	2021	2	15	10	0	SPO-SE312888_00005_100
347	3.75	2021	2	15	11	0	SPO-SE312888_00005_100
348	4.63999999	2021	2	15	12	0	SPO-SE312888_00005_100
349	4.21999999	2021	2	15	13	0	SPO-SE312888_00005_100
350	7.32	2021	2	15	14	0	SPO-SE312888_00005_100
351	8.52999999	2021	2	15	15	0	SPO-SE312888_00005_100
352	12.22	2021	2	15	16	0	SPO-SE312888_00005_100
353	13.0	2021	2	15	17	0	SPO-SE312888_00005_100
354	16.02	2021	2	15	18	0	SPO-SE312888_00005_100
355	12.36999999	2021	2	15	19	0	SPO-SE312888_00005_100
356	13.72	2021	2	15	20	0	SPO-SE312888_00005_100
357	13.92	2021	2	15	21	0	SPO-SE312888_00005_100
358	12.13	2021	2	15	22	0	SPO-SE312888_00005_100
359	11.94999999	2021	2	15	23	0	SPO-SE312888_00005_100
360	12.85999999	2021	2	16	0	0	SPO-SE312888_00005_100
361	9.43999999	2021	2	16	1	0	SPO-SE312888_00005_100
362	10.69	2021	2	16	2	0	SPO-SE312888_00005_100
363	9.17999999	2021	2	16	3	0	SPO-SE312888_00005_100
364	9.19999999	2021	2	16	4	0	SPO-SE312888_00005_100
365	8.97	2021	2	16	5	0	SPO-SE312888_00005_100
366	7.88999999	2021	2	16	6	0	SPO-SE312888_00005_100
367	8.33999999	2021	2	16	7	0	SPO-SE312888_00005_100
